_________________________________________________________________
Layer (type)                 Output Shape              Param #   
=================================================================
conv2d_1 (Conv2D)            (None, 16, 18, 18)        592       
_________________________________________________________________
activation_1 (Activation)    (None, 16, 18, 18)        0         
_________________________________________________________________
conv2d_2 (Conv2D)            (None, 32, 16, 16)        4640      
_________________________________________________________________
activation_2 (Activation)    (None, 32, 16, 16)        0         
_________________________________________________________________
flatten_1 (Flatten)          (None, 8192)              0         
_________________________________________________________________
dense_1 (Dense)              (None, 256)               2097408   
_________________________________________________________________
activation_3 (Activation)    (None, 256)               0         
_________________________________________________________________
dense_2 (Dense)              (None, 3)                 771       
=================================================================
Total params: 2,103,411
Trainable params: 2,103,411
Non-trainable params: 0
_________________________________________________________________
Episode     1/50000 | Loss 1174.4384 | Exploration 1.00 | Fruits  0 | Timesteps   24 | Total Reward   -1
Episode     2/50000 | Loss 1190.3268 | Exploration 1.00 | Fruits  0 | Timesteps    8 | Total Reward   -1
Episode     3/50000 | Loss 586.9138 | Exploration 1.00 | Fruits  0 | Timesteps   38 | Total Reward   -1
Episode     4/50000 | Loss 212.5374 | Exploration 1.00 | Fruits  0 | Timesteps   12 | Total Reward   -1
Episode     5/50000 | Loss 438.9818 | Exploration 1.00 | Fruits  0 | Timesteps   48 | Total Reward   -1
Episode     6/50000 | Loss  12.8929 | Exploration 1.00 | Fruits  0 | Timesteps   11 | Total Reward   -1
Episode     7/50000 | Loss  17.6388 | Exploration 1.00 | Fruits  0 | Timesteps   20 | Total Reward   -1
Episode     8/50000 | Loss 118.2801 | Exploration 1.00 | Fruits  0 | Timesteps   42 | Total Reward   -1
Episode     9/50000 | Loss  70.5785 | Exploration 1.00 | Fruits  0 | Timesteps   69 | Total Reward   -1
Episode    10/50000 | Loss   2.6126 | Exploration 1.00 | Fruits  0 | Timesteps   13 | Total Reward   -1
Episode    11/50000 | Loss  15.3778 | Exploration 1.00 | Fruits  0 | Timesteps   45 | Total Reward   -1
Episode    12/50000 | Loss  44.6681 | Exploration 1.00 | Fruits  0 | Timesteps   12 | Total Reward   -1
Episode    13/50000 | Loss   5.1640 | Exploration 1.00 | Fruits  0 | Timesteps   47 | Total Reward   -1
Episode    14/50000 | Loss   2.5404 | Exploration 1.00 | Fruits  0 | Timesteps   14 | Total Reward   -1
Episode    15/50000 | Loss   0.0847 | Exploration 1.00 | Fruits  0 | Timesteps    4 | Total Reward   -1
Episode    16/50000 | Loss  23.6044 | Exploration 1.00 | Fruits  0 | Timesteps   37 | Total Reward   -1
Episode    17/50000 | Loss   1.5137 | Exploration 1.00 | Fruits  0 | Timesteps   17 | Total Reward   -1
Episode    18/50000 | Loss   1.1772 | Exploration 1.00 | Fruits  0 | Timesteps   18 | Total Reward   -1
Episode    19/50000 | Loss  49.2519 | Exploration 1.00 | Fruits  0 | Timesteps   49 | Total Reward   -1
Episode    20/50000 | Loss   0.5281 | Exploration 1.00 | Fruits  0 | Timesteps    8 | Total Reward   -1
Episode    21/50000 | Loss  38.3507 | Exploration 1.00 | Fruits  0 | Timesteps   18 | Total Reward   -1
Episode    22/50000 | Loss   1.4714 | Exploration 1.00 | Fruits  1 | Timesteps   18 | Total Reward    3
Episode    23/50000 | Loss   1.0578 | Exploration 1.00 | Fruits  0 | Timesteps   13 | Total Reward   -1
Episode    24/50000 | Loss   8.5892 | Exploration 1.00 | Fruits  0 | Timesteps   36 | Total Reward   -1
Episode    25/50000 | Loss  10.1843 | Exploration 1.00 | Fruits  0 | Timesteps   84 | Total Reward   -1
Episode    26/50000 | Loss   1.4215 | Exploration 1.00 | Fruits  0 | Timesteps   15 | Total Reward   -1
Episode    27/50000 | Loss   0.5828 | Exploration 1.00 | Fruits  0 | Timesteps   20 | Total Reward   -1
Episode    28/50000 | Loss   0.8197 | Exploration 1.00 | Fruits  0 | Timesteps   20 | Total Reward   -1
Episode    29/50000 | Loss   5.3223 | Exploration 1.00 | Fruits  0 | Timesteps   77 | Total Reward   -1
Episode    30/50000 | Loss   0.0885 | Exploration 1.00 | Fruits  0 | Timesteps    4 | Total Reward   -1
Episode    31/50000 | Loss   0.6806 | Exploration 1.00 | Fruits  1 | Timesteps   26 | Total Reward    3
Episode    32/50000 | Loss   0.4733 | Exploration 1.00 | Fruits  0 | Timesteps   22 | Total Reward   -1
Episode    33/50000 | Loss   2.1386 | Exploration 1.00 | Fruits  0 | Timesteps   55 | Total Reward   -1
Episode    34/50000 | Loss   1.9532 | Exploration 1.00 | Fruits  0 | Timesteps   60 | Total Reward   -1
Episode    35/50000 | Loss   0.1272 | Exploration 1.00 | Fruits  0 | Timesteps    8 | Total Reward   -1
Episode    36/50000 | Loss   0.1591 | Exploration 1.00 | Fruits  0 | Timesteps   11 | Total Reward   -1
Episode    37/50000 | Loss   0.3411 | Exploration 1.00 | Fruits  0 | Timesteps   19 | Total Reward   -1
Episode    38/50000 | Loss   0.0454 | Exploration 1.00 | Fruits  0 | Timesteps    6 | Total Reward   -1
Episode    39/50000 | Loss   0.1935 | Exploration 1.00 | Fruits  0 | Timesteps    8 | Total Reward   -1
Episode    40/50000 | Loss   0.6654 | Exploration 1.00 | Fruits  0 | Timesteps   41 | Total Reward   -1
Episode    41/50000 | Loss   0.2108 | Exploration 1.00 | Fruits  0 | Timesteps   18 | Total Reward   -1
Episode    42/50000 | Loss   0.5721 | Exploration 1.00 | Fruits  0 | Timesteps   10 | Total Reward   -1
Episode    43/50000 | Loss   0.5570 | Exploration 1.00 | Fruits  0 | Timesteps   34 | Total Reward   -1
Episode    44/50000 | Loss   0.5326 | Exploration 1.00 | Fruits  0 | Timesteps   14 | Total Reward   -1
Episode    45/50000 | Loss   0.2186 | Exploration 1.00 | Fruits  0 | Timesteps    6 | Total Reward   -1
Episode    46/50000 | Loss   0.7435 | Exploration 1.00 | Fruits  0 | Timesteps   32 | Total Reward   -1
Episode    47/50000 | Loss   0.9735 | Exploration 1.00 | Fruits  1 | Timesteps   47 | Total Reward    3
Episode    48/50000 | Loss   1.9372 | Exploration 1.00 | Fruits  0 | Timesteps   82 | Total Reward   -1
Episode    49/50000 | Loss   0.5496 | Exploration 1.00 | Fruits  0 | Timesteps   22 | Total Reward   -1
Episode    50/50000 | Loss   2.0752 | Exploration 1.00 | Fruits  0 | Timesteps   87 | Total Reward   -1
Episode    51/50000 | Loss   1.1406 | Exploration 1.00 | Fruits  0 | Timesteps   54 | Total Reward   -1
Episode    52/50000 | Loss   1.5887 | Exploration 1.00 | Fruits  0 | Timesteps   78 | Total Reward   -1
Episode    53/50000 | Loss   0.9953 | Exploration 1.00 | Fruits  0 | Timesteps   44 | Total Reward   -1
Episode    54/50000 | Loss   1.2062 | Exploration 1.00 | Fruits  0 | Timesteps   67 | Total Reward   -1
Episode    55/50000 | Loss   0.4841 | Exploration 1.00 | Fruits  0 | Timesteps   27 | Total Reward   -1
Episode    56/50000 | Loss   1.0926 | Exploration 1.00 | Fruits  0 | Timesteps   62 | Total Reward   -1
Episode    57/50000 | Loss   0.1470 | Exploration 1.00 | Fruits  0 | Timesteps   10 | Total Reward   -1
Episode    58/50000 | Loss   0.5770 | Exploration 1.00 | Fruits  0 | Timesteps   30 | Total Reward   -1
Episode    59/50000 | Loss   0.8338 | Exploration 1.00 | Fruits  0 | Timesteps   33 | Total Reward   -1
Episode    60/50000 | Loss   0.6783 | Exploration 1.00 | Fruits  0 | Timesteps   45 | Total Reward   -1
Episode    61/50000 | Loss   1.0874 | Exploration 1.00 | Fruits  1 | Timesteps   36 | Total Reward    3
